CRCode,CRName,Latitude,Longitude
CAN,Canada,43.67084122,-79.37932587
CAN,Canada,43.67161179,-79.37995148
CAN,Canada,43.68381882,-79.45383453
CAN,Canada,43.69391632,-79.34291077
CAN,Canada,43.70011139,-79.41629791
CAN,Canada,43.70016098,-65.78215027
CAN,Canada,43.7023468,-79.71154785
FRA,France,43.70312882,7.266079903
HRV,Croatia,43.70360947,16.63944054
RUS,Russian Federation,43.70378113,44.5943985
CAN,Canada,43.70409012,-79.72679138
RUS,Russian Federation,43.71294022,39.60491943
ITA,Italy,43.7155304,10.39659023
BIH,Bosnia and Herzegovina,43.71805954,17.22666931
RUS,Russian Federation,43.71921921,44.47814941
CAN,Canada,43.72211075,-79.3014679
SRB,Serbia,43.72583008,20.68943977
HRV,Croatia,43.72721863,15.90583038
RUS,Russian Federation,43.73178864,39.55427933
CAN,Canada,43.73888016,-79.56621552
RUS,Russian Federation,43.74666977,44.0083313
FRA,France,43.74798966,5.315179825
RUS,Russian Federation,43.7491684,44.68806076
USA,United States,43.7508316,-87.71453095
FRA,France,43.75614166,7.320600033
RUS,Russian Federation,43.75740814,44.02970123
FRA,France,43.75856018,-0.032930002
